gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,some high school,standard,none,69,72,70
female,group C,some high school,standard,none,62,74,61
female,group D,associate's degree,free/reduced,none,40,49,55
male,group C,some college,free/reduced,none,66,63,59
male,group B,some college,standard,completed,85,82,83
male,group E,associate's degree,standard,none,91,82,78
male,group D,some college,standard,completed,96,100,99
male,group A,master's degree,standard,completed,94,95,98
female,group C,bachelor's degree,standard,none,72,81,79
male,group D,bachelor's degree,free/reduced,none,47,45,44
female,group B,some high school,standard,none,30,41,40
male,group D,bachelor's degree,free/reduced,none,63,59,54
female,group E,some college,free/reduced,completed,89,94,97
female,group D,master's degree,free/reduced,none,36,48,53
female,group D,associate's degree,free/reduced,completed,67,81,86
female,group C,associate's degree,free/reduced,none,47,64,60
female,group D,bachelor's degree,standard,none,84,89,94
female,group C,some college,standard,completed,76,85,87
male,group B,bachelor's degree,standard,none,63,70,68
female,group B,associate's degree,free/reduced,none,54,71,72
female,group D,associate's degree,standard,none,72,78,80
male,group D,some high school,standard,none,75,76,71
female,group E,some college,free/reduced,completed,60,65,70
male,group C,bachelor's degree,standard,none,76,63,61
female,group B,some college,free/reduced,none,50,55,55
male,group A,bachelor's degree,standard,none,62,60,54
female,group D,some college,standard,none,66,72,68
female,group A,some college,free/reduced,none,60,71,69
male,group C,associate's degree,standard,none,51,46,42
female,group E,associate's degree,free/reduced,completed,57,63,60
female,group E,bachelor's degree,standard,none,89,92,90
male,group B,some high school,standard,none,78,71,67
female,group D,associate's degree,standard,none,55,62,63
female,group C,bachelor's degree,standard,completed,67,79,76
male,group D,high school,standard,completed,71,73,70
male,group E,some high school,free/reduced,completed,72,80,74
female,group D,bachelor's degree,free/reduced,none,80,79,89
male,group E,some college,standard,none,88,82,82
female,group C,some high school,free/reduced,none,43,50,43
female,group D,some college,standard,completed,69,73,79
female,group A,high school,free/reduced,none,38,46,40
female,group C,associate's degree,standard,none,69,70,67
male,group B,some high school,standard,none,86,87,81
female,group C,master's degree,standard,none,77,82,77
female,group E,some college,standard,none,73,74,82
male,group D,some college,standard,none,88,89,91
male,group D,associate's degree,standard,none,69,63,62
female,group B,some college,standard,none,73,78,78
female,group B,associate's degree,standard,completed,59,72,74
male,group A,some college,free/reduced,completed,87,80,80
female,group B,some high school,standard,none,54,63,62
female,group C,high school,standard,completed,50,55,58
female,group D,high school,free/reduced,none,42,56,52
male,group B,master's degree,standard,none,60,68,65
female,group D,bachelor's degree,standard,completed,66,66,73
female,group B,some college,free/reduced,none,42,56,51
female,group D,high school,standard,none,33,44,36
female,group B,some college,free/reduced,completed,57,63,65
female,group E,associate's degree,standard,completed,83,91,95
female,group B,bachelor's degree,standard,none,82,93,96
male,group C,some college,free/reduced,none,67,73,59
female,group E,master's degree,free/reduced,completed,90,95,100
female,group C,some high school,free/reduced,completed,75,83,86
male,group B,some high school,standard,completed,63,57,63
male,group C,associate's degree,free/reduced,none,85,76,81
male,group B,associate's degree,free/reduced,none,61,70,68
female,group C,associate's degree,standard,completed,76,82,86
male,group E,some college,standard,none,85,76,68
female,group C,high school,free/reduced,none,53,55,52
female,group C,bachelor's degree,standard,none,67,60,66
female,group D,bachelor's degree,standard,none,72,72,82
male,group C,master's degree,standard,none,63,69,64
female,group C,some college,standard,none,55,67,63
female,group B,master's degree,standard,none,74,79,76
female,group C,bachelor's degree,standard,completed,85,79,88
female,group D,associate's degree,free/reduced,completed,54,74,75
female,group E,high school,standard,none,93,99,96
female,group D,master's degree,free/reduced,none,67,80,84
male,group C,some high school,standard,completed,79,78,81
female,group B,some college,standard,completed,73,75,83
female,group C,some college,standard,completed,67,70,78
female,group D,associate's degree,standard,completed,64,66,69
male,group D,associate's degree,free/reduced,none,54,56,48
male,group D,associate's degree,standard,none,81,61,61
female,group D,some high school,standard,none,42,56,56
female,group C,high school,standard,none,70,60,61
male,group C,high school,free/reduced,completed,75,74,70
male,group E,associate's degree,standard,completed,100,87,87
female,group D,some college,standard,none,53,65,68
female,group C,some college,free/reduced,none,60,68,66
male,group B,master's degree,free/reduced,completed,61,52,65
male,group C,some high school,standard,completed,74,79,73
male,group C,some college,standard,completed,90,96,91
male,group B,high school,free/reduced,none,46,49,46
male,group B,bachelor's degree,standard,none,73,61,65
male,group D,high school,free/reduced,none,46,39,38
female,group D,associate's degree,standard,none,72,77,83
male,group D,some high school,standard,none,69,65,59
female,group A,some college,standard,none,61,52,62
female,group C,bachelor's degree,standard,none,63,75,81
female,group E,associate's degree,standard,none,62,64,71
female,group E,associate's degree,standard,none,94,100,98
male,group C,high school,standard,none,53,48,44
female,group A,bachelor's degree,standard,completed,71,82,87
female,group C,master's degree,standard,none,65,79,80
female,group E,some college,free/reduced,completed,50,58,62
male,group D,some college,standard,none,97,92,87
male,group C,high school,free/reduced,completed,86,82,72
male,group C,some high school,standard,none,61,57,53
male,group B,some high school,free/reduced,completed,26,31,30
female,group C,bachelor's degree,standard,completed,48,57,65
male,group B,some high school,standard,none,91,78,72
female,group D,associate's degree,standard,none,74,75,79
male,group B,associate's degree,standard,none,85,74,70
male,group B,some college,free/reduced,none,51,56,42
female,group C,some college,free/reduced,completed,58,68,72
male,group B,some high school,free/reduced,none,64,60,57
female,group D,bachelor's degree,free/reduced,none,72,81,85
male,group C,high school,free/reduced,none,48,51,45
female,group B,master's degree,standard,none,76,74,78
female,group C,some high school,standard,completed,43,62,54
female,group D,associate's degree,standard,completed,64,68,71
female,group B,some college,free/reduced,none,45,57,56
male,group D,some high school,standard,completed,73,56,58
male,group A,some high school,standard,none,51,46,45
male,group D,master's degree,free/reduced,none,76,79,73
male,group D,master's degree,standard,completed,77,66,71
male,group C,some college,free/reduced,none,57,59,57
male,group C,some college,standard,none,71,71,73
male,group C,high school,standard,completed,84,84,80
female,group D,some college,standard,completed,74,73,79
female,group B,some high school,standard,completed,80,78,90
female,group B,some high school,standard,none,62,70,67
female,group B,bachelor's degree,standard,completed,75,89,92
female,group C,master's degree,free/reduced,completed,50,72,72
male,group B,some high school,standard,none,47,43,38
female,group C,master's degree,standard,none,55,74,73
male,group A,high school,free/reduced,none,52,57,39
male,group C,some college,standard,none,76,69,69
female,group C,some high school,standard,none,62,76,69
female,group D,some college,standard,none,57,68,74
female,group D,high school,free/reduced,none,41,49,46
male,group C,master's degree,free/reduced,completed,54,68,69
female,group A,bachelor's degree,standard,none,60,63,67
male,group C,some high school,standard,none,84,70,76
male,group D,high school,free/reduced,completed,70,68,74
female,group A,some college,free/reduced,none,70,73,74
male,group C,bachelor's degree,free/reduced,none,52,54,45
female,group B,high school,standard,none,68,78,82
male,group D,some college,standard,completed,64,59,65
male,group D,master's degree,standard,none,71,69,66
female,group C,some college,free/reduced,completed,60,61,70
male,group C,master's degree,standard,completed,62,55,64
female,group A,some high school,free/reduced,none,58,73,66
male,group E,high school,free/reduced,none,66,59,60
female,group B,associate's degree,free/reduced,none,58,66,64
female,group E,some high school,free/reduced,none,65,67,58
male,group B,associate's degree,standard,completed,57,56,55
male,group B,some college,standard,none,85,81,75
male,group E,bachelor's degree,standard,completed,80,73,70
male,group C,bachelor's degree,standard,none,72,62,59
male,group E,some college,standard,completed,100,88,90
male,group C,some college,free/reduced,none,69,61,55
female,group E,associate's degree,standard,none,99,100,99
female,group C,some high school,free/reduced,none,40,57,50
female,group D,master's degree,standard,none,60,68,69
female,group B,high school,standard,none,67,82,77
male,group C,some high school,standard,none,70,67,58
female,group C,associate's degree,standard,completed,92,87,93
female,group D,high school,standard,completed,46,60,66
male,group B,some high school,standard,none,57,52,42
female,group C,some college,standard,none,73,71,70
male,group B,high school,free/reduced,none,50,60,55
female,group D,some college,free/reduced,none,75,81,77
female,group D,master's degree,free/reduced,none,77,89,95
female,group D,some high school,free/reduced,none,49,61,58
female,group E,high school,free/reduced,completed,80,92,95
male,group A,some high school,standard,completed,61,59,56
female,group C,high school,standard,none,81,87,81
male,group C,bachelor's degree,standard,completed,73,71,74
female,group B,some college,standard,none,64,70,65
male,group C,high school,standard,completed,89,89,86
female,group B,some high school,standard,none,73,73,73
male,group D,some college,standard,none,66,63,62
female,group D,bachelor's degree,free/reduced,none,53,53,58
male,group E,bachelor's degree,standard,none,84,66,67
male,group B,some high school,free/reduced,none,73,68,64
male,group D,some college,standard,none,73,65,65
male,group C,bachelor's degree,standard,none,68,60,54
male,group E,high school,standard,none,54,51,48
male,group B,bachelor's degree,standard,none,59,53,54
male,group D,some high school,standard,none,67,64,58
male,group C,some high school,standard,completed,72,76,78
female,group C,bachelor's degree,free/reduced,none,45,69,63
male,group D,bachelor's degree,standard,none,72,68,66
male,group B,high school,free/reduced,none,39,48,35
female,group E,some high school,free/reduced,none,45,43,45
male,group D,high school,standard,none,21,19,21
female,group D,some college,free/reduced,none,52,59,62
male,group C,high school,standard,completed,85,87,85
female,group C,associate's degree,standard,none,70,80,79
female,group C,high school,free/reduced,completed,45,60,61
male,group D,high school,standard,completed,69,66,63
male,group B,some high school,standard,none,70,68,67
female,group A,some high school,standard,completed,56,72,74
female,group C,master's degree,free/reduced,none,51,63,59
female,group C,some college,free/reduced,completed,73,92,92
male,group B,high school,standard,none,52,43,46
female,group D,high school,standard,completed,70,73,79
male,group D,bachelor's degree,free/reduced,completed,74,68,74
female,group B,some college,standard,none,63,68,73
female,group A,associate's degree,free/reduced,none,56,59,57
female,group D,high school,standard,completed,61,66,66
male,group B,high school,standard,none,81,73,74
female,group C,some college,free/reduced,none,70,75,83
female,group C,associate's degree,free/reduced,none,30,54,53
male,group B,associate's degree,free/reduced,none,48,51,42
female,group E,high school,free/reduced,completed,92,97,96
female,group D,high school,standard,none,52,61,62
male,group A,high school,standard,none,56,56,45
male,group C,bachelor's degree,free/reduced,none,59,56,56
female,group C,some college,standard,none,55,63,64
female,group D,some college,free/reduced,none,42,54,58
female,group C,some high school,free/reduced,completed,65,74,70
male,group D,some college,standard,none,54,59,50
female,group D,some high school,free/reduced,none,51,68,69
female,group A,high school,standard,none,67,74,77
female,group B,some college,standard,completed,65,72,80
male,group D,some college,standard,none,50,60,53
male,group B,high school,standard,none,73,63,62
male,group C,master's degree,standard,none,100,89,86
male,group C,master's degree,standard,none,79,75,77
female,group C,master's degree,standard,none,72,73,71
male,group D,some college,standard,none,78,78,74
male,group E,some college,standard,completed,100,92,100
female,group D,associate's degree,standard,none,53,50,50
female,group C,associate's degree,standard,none,79,86,84
male,group D,bachelor's degree,standard,none,78,64,67
male,group D,high school,standard,none,76,71,68
male,group B,some college,standard,none,78,71,71
male,group D,some college,standard,completed,79,85,74
female,group D,some college,free/reduced,none,55,66,62
male,group C,high school,free/reduced,none,65,70,57
female,group E,some college,standard,none,80,91,87
male,group C,bachelor's degree,standard,none,82,69,74
male,group D,high school,standard,none,60,56,56
female,group B,high school,free/reduced,completed,59,69,75
female,group B,bachelor's degree,free/reduced,none,59,75,68
female,group D,some high school,standard,none,87,95,89
female,group A,high school,free/reduced,none,42,53,50
female,group C,high school,standard,none,65,73,72
female,group B,some high school,standard,none,60,68,66
male,group A,some college,standard,none,76,72,67
female,group C,some college,standard,none,63,66,66
female,group D,some high school,standard,none,49,43,52
male,group C,master's degree,standard,completed,63,64,56
female,group C,some high school,standard,completed,64,71,77
female,group B,some college,standard,none,44,53,58
male,group B,some high school,standard,none,70,60,57
male,group C,associate's degree,standard,completed,88,70,79
male,group C,some high school,standard,none,64,65,66
female,group D,bachelor's degree,standard,none,87,98,100
male,group C,associate's degree,free/reduced,none,63,57,55
female,group B,high school,free/reduced,none,54,77,66
male,group D,some college,free/reduced,none,65,65,57
male,group B,high school,standard,completed,67,73,64
female,group D,some college,standard,completed,66,73,79
female,group D,bachelor's degree,free/reduced,completed,54,75,76
female,group C,some college,free/reduced,none,41,54,44
female,group C,high school,standard,none,80,85,80
female,group D,some high school,free/reduced,none,28,38,39
male,group B,some high school,standard,none,72,71,66
male,group C,some college,free/reduced,none,52,55,46
male,group A,high school,free/reduced,none,33,36,27
male,group E,high school,standard,none,76,66,61
female,group B,bachelor's degree,free/reduced,none,79,89,83
male,group C,associate's degree,free/reduced,completed,69,80,75
female,group D,some college,free/reduced,completed,57,67,68
female,group D,bachelor's degree,standard,none,100,100,100
female,group A,some college,standard,none,68,72,63
female,group D,some high school,standard,none,62,75,78
male,group B,high school,standard,none,68,62,58
male,group B,some high school,free/reduced,completed,75,88,76
male,group D,associate's degree,standard,none,78,72,71
female,group E,some college,standard,none,84,88,87
female,group E,some college,standard,completed,90,100,100
male,group C,high school,free/reduced,none,75,68,61
male,group B,some college,free/reduced,none,39,49,41
female,group C,some college,standard,none,81,91,85
female,group B,some college,standard,none,74,83,85
female,group A,some college,standard,completed,61,72,71
female,group E,some high school,free/reduced,completed,64,73,76
male,group E,master's degree,standard,completed,87,75,73
female,group D,high school,free/reduced,none,59,69,72
female,group C,some college,standard,none,66,77,69
male,group A,high school,standard,none,62,64,59
female,group E,some high school,standard,none,78,80,76
female,group E,some college,free/reduced,none,59,74,68
female,group A,some college,standard,completed,59,72,80
female,group C,some college,standard,completed,86,100,100
female,group D,associate's degree,standard,completed,86,98,100
female,group B,some college,standard,completed,61,76,76
male,group A,high school,standard,completed,64,58,50
male,group C,some college,free/reduced,completed,80,86,90
male,group A,bachelor's degree,standard,none,53,63,60
female,group B,associate's degree,standard,none,67,77,79
female,group B,bachelor's degree,standard,completed,79,88,94
female,group C,some college,standard,none,73,72,65
male,group D,bachelor's degree,standard,completed,91,99,99
female,group C,some college,free/reduced,completed,82,99,96
female,group C,associate's degree,standard,completed,62,73,69
female,group C,some high school,standard,none,50,45,48
female,group A,high school,standard,none,61,82,81
female,group D,associate's degree,standard,none,48,64,61
male,group B,some high school,standard,none,61,63,58
male,group C,some college,standard,completed,74,74,77
male,group C,some high school,standard,none,39,41,34
female,group D,some high school,free/reduced,none,52,64,60
male,group C,high school,standard,none,77,83,73
female,group B,bachelor's degree,standard,none,39,52,50
male,group B,associate's degree,standard,completed,88,89,91
female,group C,master's degree,standard,completed,64,71,69
male,group C,some high school,standard,none,38,46,33
male,group C,some high school,standard,completed,88,78,83
female,group D,some college,free/reduced,completed,63,73,82
female,group A,some college,standard,none,67,82,79
male,group E,bachelor's degree,standard,none,82,78,71
male,group E,high school,standard,completed,90,84,86
male,group B,master's degree,standard,none,89,83,80
female,group D,high school,standard,none,73,85,80
female,group C,some high school,standard,completed,43,45,50
male,group E,associate's degree,standard,completed,100,98,98
female,group E,high school,free/reduced,none,50,46,39
male,group B,bachelor's degree,standard,none,71,58,59
female,group C,high school,free/reduced,none,38,52,43
female,group C,some college,free/reduced,none,55,64,68
female,group C,high school,standard,none,69,78,75
male,group A,high school,free/reduced,completed,64,66,67
male,group C,high school,standard,completed,77,75,73
male,group D,bachelor's degree,standard,completed,65,66,76
male,group B,high school,standard,completed,71,71,69
female,group C,high school,standard,none,46,69,56
female,group B,some college,standard,completed,39,47,43
male,group B,associate's degree,free/reduced,completed,69,72,76
female,group D,bachelor's degree,standard,completed,76,86,87
male,group B,associate's degree,standard,none,59,57,48
male,group B,some college,standard,none,74,72,63
female,group C,some college,standard,none,55,60,61
female,group B,associate's degree,standard,none,57,59,56
female,group C,bachelor's degree,standard,none,40,44,51
male,group B,bachelor's degree,standard,completed,86,80,80
female,group D,some high school,standard,none,90,99,93
female,group E,bachelor's degree,free/reduced,none,80,70,70
male,group D,associate's degree,standard,none,73,60,70
male,group D,bachelor's degree,standard,completed,82,79,78
female,group C,master's degree,standard,completed,59,84,79
female,group B,high school,free/reduced,none,33,42,36
male,group C,associate's degree,free/reduced,none,68,74,65
female,group D,bachelor's degree,standard,none,62,75,74
female,group B,bachelor's degree,standard,completed,78,83,86
male,group A,master's degree,standard,none,95,96,88
female,group C,some college,standard,completed,88,98,99
female,group B,some high school,standard,none,64,76,66
female,group E,some college,standard,completed,82,89,87
female,group D,some high school,free/reduced,completed,63,75,79
male,group C,some high school,standard,completed,67,65,72
male,group C,some high school,standard,completed,76,74,72
male,group D,high school,standard,none,67,60,49
female,group E,master's degree,standard,completed,85,90,100
male,group D,some college,standard,none,32,29,31
male,group D,some college,standard,none,95,91,91
male,group E,some college,free/reduced,none,80,63,63
female,group C,some college,standard,completed,58,66,68
female,group C,high school,free/reduced,completed,57,72,71
female,group D,some college,standard,completed,65,83,82
female,group E,bachelor's degree,free/reduced,completed,84,94,95
male,group D,some college,standard,none,55,60,54
female,group B,some high school,free/reduced,none,77,71,74
female,group D,master's degree,free/reduced,none,52,62,65
male,group D,some college,standard,none,75,76,69
male,group C,associate's degree,free/reduced,completed,76,78,78
male,group E,some high school,standard,none,88,81,73
male,group D,associate's degree,standard,none,55,46,49
female,group E,associate's degree,standard,completed,81,83,79
male,group C,high school,standard,completed,54,42,41
male,group B,some college,standard,none,75,66,63
male,group C,some high school,standard,none,70,63,59
male,group A,high school,free/reduced,completed,81,75,73
female,group D,associate's degree,standard,none,70,77,77
male,group C,high school,standard,completed,91,90,82
female,group B,bachelor's degree,free/reduced,none,45,49,54
female,group B,master's degree,standard,completed,57,68,71
male,group C,some high school,standard,none,55,51,52
female,group B,bachelor's degree,free/reduced,completed,43,57,52
female,group C,some college,free/reduced,none,43,55,50
female,group D,associate's degree,free/reduced,none,85,89,90
female,group C,high school,free/reduced,none,57,74,67
female,group C,master's degree,standard,none,75,87,79
female,group D,bachelor's degree,free/reduced,none,52,61,64
male,group B,bachelor's degree,standard,none,73,65,65
female,group B,some high school,standard,none,62,83,76
female,group C,some college,free/reduced,none,67,91,88
female,group E,some high school,standard,none,74,65,66
male,group C,associate's degree,standard,none,58,56,52
female,group C,high school,free/reduced,completed,62,74,78
male,group D,high school,free/reduced,none,75,77,71
female,group D,some college,free/reduced,completed,73,77,82
female,group C,some high school,free/reduced,none,59,57,55
female,group C,some high school,standard,none,46,55,44
male,group C,some college,standard,completed,72,78,76
male,group D,some college,standard,completed,79,68,67
male,group D,high school,standard,none,81,83,72
female,group A,some high school,standard,none,61,66,65
male,group B,master's degree,standard,completed,67,58,69
male,group D,high school,standard,none,88,86,83
female,group B,high school,standard,none,60,54,56
male,group E,associate's degree,standard,completed,100,93,96
male,group B,high school,free/reduced,completed,58,61,60
female,group C,some high school,standard,none,51,62,58
male,group C,high school,standard,completed,77,75,74
male,group B,high school,standard,none,52,43,41
female,group E,high school,standard,none,84,84,85
male,group C,associate's degree,standard,none,79,74,68
male,group C,associate's degree,standard,none,46,42,40
female,group C,some high school,standard,completed,59,67,70
male,group A,bachelor's degree,standard,none,83,76,79
male,group B,associate's degree,standard,none,50,47,45
male,group C,associate's degree,standard,none,64,62,57
male,group C,associate's degree,standard,none,75,66,64
male,group D,high school,standard,none,73,63,64
female,group B,high school,standard,none,66,63,68
male,group B,some college,standard,completed,90,89,83
female,group A,some high school,standard,none,55,64,63
male,group C,some college,free/reduced,completed,63,55,60
male,group D,some college,standard,none,67,65,58
female,group C,high school,standard,none,72,81,77
male,group B,some high school,standard,none,65,69,56
male,group B,some high school,standard,none,66,67,57
male,group E,associate's degree,standard,completed,100,88,92
male,group E,high school,free/reduced,completed,68,59,54
female,group B,some college,standard,none,59,79,73
male,group C,associate's degree,free/reduced,none,74,77,70
male,group B,bachelor's degree,free/reduced,none,75,69,62
female,group D,associate's degree,standard,none,84,83,87
female,group C,master's degree,standard,none,72,78,78
female,group D,associate's degree,free/reduced,none,66,76,75
male,group D,bachelor's degree,standard,none,92,84,86
female,group D,high school,free/reduced,none,72,87,84
male,group C,some college,free/reduced,none,52,49,39
male,group D,bachelor's degree,standard,completed,73,66,77
female,group B,some college,standard,none,67,64,63
male,group D,high school,standard,none,47,49,49
female,group C,high school,free/reduced,completed,57,62,70
male,group B,high school,free/reduced,completed,66,70,64
male,group E,some college,free/reduced,none,85,76,72
female,group E,bachelor's degree,free/reduced,none,76,84,84
female,group D,some college,standard,completed,79,80,83
female,group C,high school,standard,completed,72,79,79
female,group C,some college,standard,none,57,71,70
male,group C,some high school,free/reduced,none,62,51,48
female,group C,high school,free/reduced,none,59,72,71
female,group B,high school,standard,completed,64,75,78
male,group D,bachelor's degree,free/reduced,none,53,52,44
male,group E,associate's degree,standard,completed,86,75,81
male,group C,bachelor's degree,standard,none,94,87,88
female,group D,master's degree,free/reduced,none,48,60,57
female,group A,master's degree,standard,none,40,45,48
female,group A,high school,standard,none,69,80,77
male,group E,some high school,free/reduced,completed,77,67,71
female,group B,high school,free/reduced,completed,53,72,68
male,group D,some high school,standard,completed,65,55,62
female,group C,some high school,free/reduced,none,37,48,45
female,group D,some college,standard,none,70,78,78
male,group D,some college,free/reduced,none,40,52,46
male,group C,some high school,standard,none,37,30,26
male,group B,bachelor's degree,free/reduced,none,70,63,66
female,group E,some college,standard,none,65,73,71
male,group E,associate's degree,standard,completed,78,74,77
male,group C,some college,standard,none,32,33,23
female,group A,some high school,standard,completed,57,66,67
female,group B,some high school,standard,none,72,81,82
female,group A,some college,standard,none,76,88,86
female,group B,some college,free/reduced,none,68,85,78
male,group B,associate's degree,standard,completed,93,96,95
male,group B,bachelor's degree,standard,none,56,47,49
female,group A,some high school,standard,none,66,74,71
male,group C,high school,standard,none,73,63,62
female,group B,some college,standard,none,61,77,70
female,group C,some high school,standard,completed,68,74,80
female,group B,some high school,standard,completed,48,56,50
female,group C,some college,standard,completed,87,90,95
female,group C,high school,free/reduced,completed,65,75,67
female,group C,some college,standard,none,49,53,58
female,group B,associate's degree,standard,completed,66,68,71
female,group B,high school,standard,none,62,68,69
female,group B,some high school,standard,none,52,65,58
male,group E,high school,standard,none,65,49,49
male,group C,high school,standard,none,69,69,68
female,group A,some high school,free/reduced,none,38,66,58
male,group D,high school,standard,none,56,53,47
female,group D,associate's degree,free/reduced,none,56,76,70
female,group E,high school,standard,none,78,85,85
male,group B,bachelor's degree,free/reduced,none,84,79,74
male,group D,some college,free/reduced,completed,69,68,66
female,group B,bachelor's degree,standard,completed,75,92,93
male,group C,associate's degree,standard,completed,83,88,84
male,group B,some college,standard,none,45,40,35
female,group D,some high school,free/reduced,none,44,63,55
female,group B,bachelor's degree,standard,none,53,56,55
male,group D,some high school,free/reduced,none,73,64,56
male,group D,high school,standard,none,65,47,46
female,group A,associate's degree,standard,none,64,79,72
male,group C,some college,standard,completed,68,66,68
male,group C,associate's degree,free/reduced,none,71,75,68
female,group B,high school,standard,completed,49,61,54
female,group E,some high school,free/reduced,none,81,92,88
male,group A,associate's degree,free/reduced,none,52,52,50
female,group C,some high school,standard,none,57,63,61
female,group B,associate's degree,free/reduced,none,34,43,42
male,group D,high school,standard,none,80,78,72
female,group C,associate's degree,free/reduced,none,49,65,60
female,group B,high school,standard,completed,65,76,75
male,group C,some college,free/reduced,none,58,70,58
female,group A,high school,free/reduced,completed,53,68,65
female,group D,some college,standard,none,86,91,91
male,group C,bachelor's degree,free/reduced,none,73,70,69
male,group C,associate's degree,standard,completed,100,100,96
male,group C,associate's degree,standard,completed,76,63,62
male,group E,some high school,standard,none,100,86,83
female,group B,some college,free/reduced,none,39,44,47
female,group A,some college,free/reduced,completed,65,75,81
male,group E,some college,standard,completed,89,80,84
male,group E,some college,free/reduced,none,69,73,63
female,group D,some high school,free/reduced,none,47,63,56
female,group C,associate's degree,standard,none,69,60,70
female,group C,associate's degree,standard,none,77,78,77
female,group D,some high school,standard,none,58,63,70
male,group E,some high school,free/reduced,none,65,58,56
female,group B,bachelor's degree,free/reduced,none,60,66,69
male,group E,master's degree,free/reduced,none,67,68,68
female,group C,high school,standard,none,52,53,50
male,group C,bachelor's degree,free/reduced,none,61,55,55
male,group B,high school,standard,completed,76,57,60
male,group A,some high school,standard,completed,87,85,90
female,group D,associate's degree,standard,none,91,98,98
male,group B,bachelor's degree,standard,none,54,50,49
male,group A,associate's degree,standard,completed,81,81,76
female,group C,some high school,free/reduced,none,44,48,45
female,group B,some college,free/reduced,none,79,85,76
female,group C,high school,free/reduced,completed,69,76,76
male,group C,some college,free/reduced,none,42,32,31
male,group E,associate's degree,standard,none,67,54,56
female,group A,master's degree,free/reduced,none,59,78,77
male,group E,some college,standard,none,74,62,59
male,group A,some high school,free/reduced,none,58,73,60
male,group C,bachelor's degree,standard,completed,32,43,44
female,group D,associate's degree,free/reduced,completed,57,76,78
female,group D,some high school,standard,completed,61,72,74
male,group C,some high school,standard,none,81,82,76
male,group C,some high school,standard,none,67,67,60
male,group C,some college,standard,completed,84,73,71
male,group C,bachelor's degree,free/reduced,none,53,44,48
male,group C,some college,free/reduced,none,51,57,50
female,group C,associate's degree,standard,none,61,68,65
female,group B,associate's degree,standard,none,62,74,77
male,group C,high school,standard,none,43,40,31
female,group A,some college,standard,completed,67,79,83
female,group B,master's degree,standard,none,38,58,55
male,group E,high school,free/reduced,none,48,39,35
female,group C,high school,standard,none,67,69,70
female,group D,bachelor's degree,standard,none,65,72,72
male,group C,some college,standard,none,64,60,57
male,group D,some college,free/reduced,none,66,57,59
female,group C,associate's degree,standard,none,48,53,53
male,group C,associate's degree,standard,none,88,78,80
male,group D,some college,standard,none,75,68,67
female,group C,some high school,standard,completed,69,81,80
female,group C,high school,standard,completed,65,75,73
female,group C,some college,standard,none,61,66,65
male,group A,bachelor's degree,standard,none,71,75,72
female,group D,associate's degree,standard,none,56,61,62
male,group E,high school,standard,none,76,67,62
male,group C,some college,standard,completed,78,76,70
male,group B,high school,free/reduced,none,35,34,28
male,group B,bachelor's degree,standard,none,66,63,63
female,group B,some high school,standard,none,56,69,69
male,group E,high school,free/reduced,completed,69,75,69
male,group E,associate's degree,free/reduced,none,51,52,47
female,group C,associate's degree,free/reduced,none,66,72,75
female,group D,some college,free/reduced,none,79,91,94
male,group D,high school,free/reduced,none,57,54,54
male,group B,bachelor's degree,free/reduced,none,46,50,47
male,group B,some high school,standard,none,72,77,67
male,group B,associate's degree,free/reduced,none,59,66,56
female,group B,some college,standard,none,46,48,52
male,group C,some college,free/reduced,completed,44,46,47
male,group E,bachelor's degree,free/reduced,none,62,51,48
female,group E,master's degree,standard,none,85,88,83
female,group E,high school,free/reduced,none,51,53,49
female,group A,some college,standard,none,75,81,85
female,group E,high school,standard,none,85,84,82
female,group C,some college,free/reduced,none,40,61,54
male,group D,associate's degree,standard,none,68,60,55
male,group D,high school,free/reduced,completed,56,68,68
female,group C,bachelor's degree,free/reduced,completed,67,77,74
male,group C,some high school,free/reduced,none,37,31,31
male,group B,master's degree,standard,none,63,61,59
male,group C,some high school,standard,none,63,48,47
female,group D,high school,standard,completed,64,69,74
female,group C,some college,standard,none,64,74,73
female,group B,associate's degree,standard,completed,59,60,65
female,group D,associate's degree,free/reduced,completed,57,82,85
female,group B,some high school,free/reduced,completed,31,52,40
female,group C,some high school,standard,completed,51,60,65
male,group C,some high school,standard,none,78,78,74
male,group C,some high school,free/reduced,none,71,75,70
male,group B,associate's degree,free/reduced,none,57,52,54
female,group D,some high school,standard,completed,73,89,84
male,group D,some college,standard,none,53,49,47
female,group C,associate's degree,standard,completed,100,100,100
male,group C,some high school,standard,completed,56,48,47
male,group D,bachelor's degree,standard,completed,67,59,63
male,group B,some high school,standard,none,67,58,60
male,group D,bachelor's degree,free/reduced,completed,56,51,50
female,group C,some college,standard,completed,57,59,63
female,group B,high school,free/reduced,completed,43,57,60
male,group B,some high school,free/reduced,none,75,76,65
male,group D,some college,standard,completed,52,56,60
female,group B,some college,standard,none,72,87,74
female,group E,high school,standard,none,92,87,91
male,group D,bachelor's degree,standard,completed,65,65,71
female,group A,some college,standard,none,72,72,82
female,group A,some college,free/reduced,completed,66,88,86
male,group B,some college,standard,completed,96,84,83
male,group A,master's degree,standard,completed,89,75,77
female,group A,high school,standard,none,88,88,84
female,group B,some high school,free/reduced,none,67,81,73
male,group C,some college,standard,none,74,59,61
female,group D,some college,standard,none,62,72,74
